antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({np.str_('Farmhouse'), np.str_('Boho'), np.str_('Traditional')})",frozenset({np.str_('Industrial')}),0.6,0.7,0.5,0.8333333333333334,1.1904761904761907,1.0,0.08000000000000002,1.8000000000000007,0.4000000000000001,0.6250000000000001,0.44444444444444464,0.7738095238095238
"frozenset({np.str_('Boho'), np.str_('Farmhouse')})","frozenset({np.str_('Industrial'), np.str_('Traditional')})",0.6,0.7,0.5,0.8333333333333334,1.1904761904761907,1.0,0.08000000000000002,1.8000000000000007,0.4000000000000001,0.6250000000000001,0.44444444444444464,0.7738095238095238
"frozenset({np.str_('Boho'), np.str_('Farmhouse')})",frozenset({np.str_('Industrial')}),0.6,0.7,0.5,0.8333333333333334,1.1904761904761907,1.0,0.08000000000000002,1.8000000000000007,0.4000000000000001,0.6250000000000001,0.44444444444444464,0.7738095238095238
frozenset({np.str_('Industrial')}),"frozenset({np.str_('Boho'), np.str_('Farmhouse')})",0.7,0.6,0.5,0.7142857142857143,1.1904761904761905,1.0,0.08000000000000002,1.4000000000000001,0.5333333333333333,0.6250000000000001,0.2857142857142858,0.7738095238095238
frozenset({np.str_('Industrial')}),"frozenset({np.str_('Farmhouse'), np.str_('Boho'), np.str_('Traditional')})",0.7,0.6,0.5,0.7142857142857143,1.1904761904761905,1.0,0.08000000000000002,1.4000000000000001,0.5333333333333333,0.6250000000000001,0.2857142857142858,0.7738095238095238
"frozenset({np.str_('Industrial'), np.str_('Traditional')})","frozenset({np.str_('Boho'), np.str_('Farmhouse')})",0.7,0.6,0.5,0.7142857142857143,1.1904761904761905,1.0,0.08000000000000002,1.4000000000000001,0.5333333333333333,0.6250000000000001,0.2857142857142858,0.7738095238095238
frozenset({np.str_('Industrial')}),"frozenset({np.str_('Farmhouse'), np.str_('Traditional')})",0.7,0.8,0.6,0.8571428571428572,1.0714285714285714,1.0,0.040000000000000036,1.4000000000000004,0.2222222222222224,0.6666666666666666,0.28571428571428586,0.8035714285714286
"frozenset({np.str_('Industrial'), np.str_('Traditional')})",frozenset({np.str_('Boho')}),0.7,0.8,0.6,0.8571428571428572,1.0714285714285714,1.0,0.040000000000000036,1.4000000000000004,0.2222222222222224,0.6666666666666666,0.28571428571428586,0.8035714285714286
frozenset({np.str_('Industrial')}),frozenset({np.str_('Boho')}),0.7,0.8,0.6,0.8571428571428572,1.0714285714285714,1.0,0.040000000000000036,1.4000000000000004,0.2222222222222224,0.6666666666666666,0.28571428571428586,0.8035714285714286
frozenset({np.str_('Boho')}),frozenset({np.str_('Industrial')}),0.8,0.7,0.6,0.7499999999999999,1.0714285714285714,1.0,0.040000000000000036,1.1999999999999997,0.3333333333333337,0.6666666666666666,0.1666666666666664,0.8035714285714286
frozenset({np.str_('Farmhouse')}),frozenset({np.str_('Industrial')}),0.8,0.7,0.6,0.7499999999999999,1.0714285714285714,1.0,0.040000000000000036,1.1999999999999997,0.3333333333333337,0.6666666666666666,0.1666666666666664,0.8035714285714286
frozenset({np.str_('Industrial')}),frozenset({np.str_('Farmhouse')}),0.7,0.8,0.6,0.8571428571428572,1.0714285714285714,1.0,0.040000000000000036,1.4000000000000004,0.2222222222222224,0.6666666666666666,0.28571428571428586,0.8035714285714286
"frozenset({np.str_('Farmhouse'), np.str_('Traditional')})",frozenset({np.str_('Industrial')}),0.8,0.7,0.6,0.7499999999999999,1.0714285714285714,1.0,0.040000000000000036,1.1999999999999997,0.3333333333333337,0.6666666666666666,0.1666666666666664,0.8035714285714286
frozenset({np.str_('Boho')}),"frozenset({np.str_('Industrial'), np.str_('Traditional')})",0.8,0.7,0.6,0.7499999999999999,1.0714285714285714,1.0,0.040000000000000036,1.1999999999999997,0.3333333333333337,0.6666666666666666,0.1666666666666664,0.8035714285714286
frozenset({np.str_('Industrial')}),"frozenset({np.str_('Boho'), np.str_('Traditional')})",0.7,0.8,0.6,0.8571428571428572,1.0714285714285714,1.0,0.040000000000000036,1.4000000000000004,0.2222222222222224,0.6666666666666666,0.28571428571428586,0.8035714285714286
frozenset({np.str_('Farmhouse')}),"frozenset({np.str_('Industrial'), np.str_('Traditional')})",0.8,0.7,0.6,0.7499999999999999,1.0714285714285714,1.0,0.040000000000000036,1.1999999999999997,0.3333333333333337,0.6666666666666666,0.1666666666666664,0.8035714285714286
"frozenset({np.str_('Industrial'), np.str_('Traditional')})",frozenset({np.str_('Farmhouse')}),0.7,0.8,0.6,0.8571428571428572,1.0714285714285714,1.0,0.040000000000000036,1.4000000000000004,0.2222222222222224,0.6666666666666666,0.28571428571428586,0.8035714285714286
"frozenset({np.str_('Boho'), np.str_('Traditional')})",frozenset({np.str_('Industrial')}),0.8,0.7,0.6,0.7499999999999999,1.0714285714285714,1.0,0.040000000000000036,1.1999999999999997,0.3333333333333337,0.6666666666666666,0.1666666666666664,0.8035714285714286
"frozenset({np.str_('Industrial'), np.str_('Farmhouse')})",frozenset({np.str_('Boho')}),0.6,0.8,0.5,0.8333333333333334,1.0416666666666667,1.0,0.020000000000000018,1.2,0.10000000000000009,0.5555555555555556,0.16666666666666666,0.7291666666666667
"frozenset({np.str_('Industrial'), np.str_('Boho')})",frozenset({np.str_('Farmhouse')}),0.6,0.8,0.5,0.8333333333333334,1.0416666666666667,1.0,0.020000000000000018,1.2,0.10000000000000009,0.5555555555555556,0.16666666666666666,0.7291666666666667
"frozenset({np.str_('Farmhouse'), np.str_('Traditional')})","frozenset({np.str_('Industrial'), np.str_('Boho')})",0.8,0.6,0.5,0.625,1.0416666666666667,1.0,0.020000000000000018,1.0666666666666667,0.20000000000000023,0.5555555555555556,0.06250000000000006,0.7291666666666667
frozenset({np.str_('Boho')}),"frozenset({np.str_('Industrial'), np.str_('Farmhouse'), np.str_('Traditional')})",0.8,0.6,0.5,0.625,1.0416666666666667,1.0,0.020000000000000018,1.0666666666666667,0.20000000000000023,0.5555555555555556,0.06250000000000006,0.7291666666666667
"frozenset({np.str_('Boho'), np.str_('Traditional')})","frozenset({np.str_('Industrial'), np.str_('Farmhouse')})",0.8,0.6,0.5,0.625,1.0416666666666667,1.0,0.020000000000000018,1.0666666666666667,0.20000000000000023,0.5555555555555556,0.06250000000000006,0.7291666666666667
"frozenset({np.str_('Industrial'), np.str_('Farmhouse')})","frozenset({np.str_('Boho'), np.str_('Traditional')})",0.6,0.8,0.5,0.8333333333333334,1.0416666666666667,1.0,0.020000000000000018,1.2,0.10000000000000009,0.5555555555555556,0.16666666666666666,0.7291666666666667
frozenset({np.str_('Farmhouse')}),"frozenset({np.str_('Industrial'), np.str_('Boho'), np.str_('Traditional')})",0.8,0.6,0.5,0.625,1.0416666666666667,1.0,0.020000000000000018,1.0666666666666667,0.20000000000000023,0.5555555555555556,0.06250000000000006,0.7291666666666667
"frozenset({np.str_('Industrial'), np.str_('Farmhouse'), np.str_('Traditional')})",frozenset({np.str_('Boho')}),0.6,0.8,0.5,0.8333333333333334,1.0416666666666667,1.0,0.020000000000000018,1.2,0.10000000000000009,0.5555555555555556,0.16666666666666666,0.7291666666666667
frozenset({np.str_('Farmhouse')}),"frozenset({np.str_('Industrial'), np.str_('Boho')})",0.8,0.6,0.5,0.625,1.0416666666666667,1.0,0.020000000000000018,1.0666666666666667,0.20000000000000023,0.5555555555555556,0.06250000000000006,0.7291666666666667
